ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default payment next month,default payment next month.0,default payment next month.1
24001,50000,1,2,2,23,2,2,0,0,0,0,51246,49758,48456,44116,21247,20066,8,2401,2254,2004,704,707,0,0.38115603,0.618844
24002,60000,1,2,2,26,0,0,0,0,0,0,58072,59040,57416,55736,26958,28847,2282,2324,2049,2000,3000,1120,1,0.8895222,0.110477835
24003,400000,1,2,2,27,0,0,0,0,0,0,15330,8626,11470,10745,20737,9545,2501,10009,1437,1105,510,959,0,0.89002323,0.10997675
24004,20000,1,5,2,27,5,4,3,2,2,2,21673,21051,20440,19709,20113,19840,0,0,0,900,0,0,0,0.36973113,0.6302689
24005,50000,1,3,2,27,0,0,-2,-2,-1,-1,32590,-100,0,0,70,120,0,100,0,70,200,100,0,0.8978371,0.102162905
24006,110000,1,2,2,27,0,0,0,0,0,0,102551,103550,105089,107164,105988,108617,5500,6000,6000,4000,5000,4000,0,0.9239775,0.076022476
24007,30000,1,3,2,23,0,0,-2,-1,0,0,4443,370,380,590,7704,20204,430,400,601,7504,15005,5674,0,0.8807682,0.119231805
24008,230000,1,2,2,27,0,0,0,0,0,0,34592,23689,27652,8430,9811,9865,1816,5105,1293,2000,528,3000,0,0.89719117,0.10280885
24009,20000,1,3,3,23,0,0,0,0,0,0,18455,19990,20215,19298,19807,12294,2000,20000,1612,1121,702,1000,0,0.91314787,0.08685211
24010,30000,1,1,2,24,0,0,0,2,0,0,6003,4912,6214,3311,4430,906,1440,2259,0,1500,425,895,0,0.71727145,0.28272855
24011,90000,1,2,2,25,0,0,0,0,0,0,91151,88937,91097,52285,46430,47404,3453,3868,1960,1658,1718,2200,0,0.90395987,0.09604011
24012,30000,1,2,2,25,2,0,0,0,0,0,24279,25281,26568,29872,23504,25724,1713,2000,4000,0,3000,1000,1,0.32956594,0.67043406
24013,20000,1,3,2,24,4,3,2,0,0,0,20569,19927,16371,17291,18001,18706,0,0,1500,1000,1000,836,1,0.40162808,0.5983719
24014,20000,1,2,2,24,2,2,2,0,0,-1,17996,19102,19117,19664,10000,4060,2100,1000,1000,1100,4060,0,1,0.39705634,0.60294366
24015,50000,1,2,2,24,0,0,0,0,0,0,12236,13324,14403,15460,15804,16549,1300,1300,1300,600,1000,602,0,0.8503065,0.14969346
24016,80000,1,2,2,25,-1,-1,-1,-1,-1,-1,416,416,416,416,416,416,416,416,416,416,416,416,0,0.78154117,0.21845883
24017,120000,1,1,2,28,-1,-1,-1,-1,-1,-1,231,6665,880,0,4440,4440,6673,880,0,4440,4440,4440,0,0.8707273,0.12927271
24018,50000,1,2,2,25,-1,-1,-1,-1,0,0,5814,-73,11427,191,7391,6554,0,11500,191,7200,2000,7000,0,0.8830578,0.11694221
24019,200000,1,1,2,26,0,0,0,0,0,0,50124,51122,52533,52772,53441,22246,1830,2235,1447,1069,445,9332,0,0.88893735,0.11106262
24020,150000,1,2,2,25,0,0,0,0,0,0,140662,144334,148016,150128,94834,97487,6000,6000,5176,5000,4002,3628,0,0.9167242,0.083275765
24021,360000,1,1,2,24,2,0,0,-2,-2,-2,1188,1803,777,-3,-3,-3,1003,783,0,0,0,0,1,0.32584786,0.67415214
24022,60000,1,1,2,25,0,0,2,2,2,0,56918,61210,52757,29209,26403,26969,5914,17,3106,0,1104,1134,0,0.6406566,0.3593434
24023,80000,1,2,2,25,3,2,0,0,-1,-1,79977,78091,80288,82150,319,85,0,3456,3750,319,85,322,0,0.43346345,0.56653655
24024,320000,1,1,2,25,0,0,0,0,0,0,146183,148703,169920,174315,173032,176016,6206,25006,10025,6506,7006,8006,0,0.9288781,0.07112188
24025,140000,1,2,2,25,2,0,0,0,0,0,142697,137269,133767,120287,117183,119575,5010,6377,5604,4160,8239,0,1,0.34236574,0.65763426
24026,20000,1,2,1,26,3,2,2,3,3,3,1050,1050,1050,1050,1050,1050,0,0,0,0,0,0,1,0.1610859,0.8389141
24027,110000,1,2,2,26,0,-1,-1,2,0,0,60808,196,3290,3089,3601,3396,196,3290,0,563,296,200,0,0.82347274,0.17652725
24028,190000,1,2,2,26,0,0,0,2,2,2,45694,52361,43563,40909,50758,36922,9000,8000,0,12000,3000,0,0,0.69404405,0.30595595
24029,130000,1,2,2,25,0,0,0,2,2,2,113290,112561,119435,105382,49643,46812,5650,12421,0,7000,0,2000,0,0.72380984,0.27619013
24030,160000,1,1,2,26,0,0,0,0,-1,-1,138825,135233,130038,79027,6666,6666,6800,5600,3715,6666,6666,6666,1,0.9179718,0.08202822
24031,260000,1,1,2,26,0,0,0,0,0,0,250303,198350,189510,178738,182973,187233,7065,7054,6500,7000,7001,10000,0,0.9087465,0.09125353
24032,80000,1,1,2,26,-1,-1,-1,-1,-1,-1,7412,945,1096,162,6600,1780,945,1096,163,6600,1780,0,0,0.8390802,0.16091976
24033,50000,1,2,2,25,0,0,2,2,4,3,28651,41897,43032,47242,46212,45205,14200,2100,5215,0,0,0,1,0.63180816,0.36819187
24034,100000,1,1,2,26,0,0,0,0,0,0,91189,93383,96301,90858,92724,96030,3500,4300,4400,4000,4700,5000,0,0.89984405,0.100155935
24035,20000,1,2,2,27,1,2,0,0,2,2,7326,7060,8240,9582,9279,9971,0,1296,1638,0,844,0,1,0.42477554,0.57522446
24036,210000,1,2,2,27,1,-1,2,0,0,-2,0,628,232,1067,-27,-27,628,0,1000,0,0,0,0,0.69151914,0.30848083
24037,160000,1,2,2,28,0,0,0,0,0,-1,84879,59607,38512,19129,15525,11146,2593,2000,1604,2000,11146,2006,0,0.8988776,0.10112241
24038,340000,1,1,2,26,0,0,0,0,0,0,241720,221836,206485,196137,196447,195114,8000,10000,10000,8032,8000,8500,0,0.9092094,0.09079061
24039,70000,1,3,2,27,2,2,2,3,3,2,58009,56479,63633,64500,62867,64210,0,8100,2500,0,2500,2455,1,0.29124564,0.70875436
24040,50000,1,1,2,27,2,2,0,0,0,0,51042,48878,47884,29506,3672,8346,0,2354,1410,1500,4900,700,1,0.35816705,0.64183295
24041,60000,1,1,2,26,-1,-1,0,0,0,0,1870,32603,32432,27976,25862,24571,32607,2119,3008,1006,1042,1001,0,0.8875196,0.11248042
24042,20000,1,3,2,27,3,2,2,5,5,4,1200,1200,1200,1200,1200,600,0,0,0,0,0,0,1,0.2319684,0.7680316
24043,50000,1,1,2,27,0,0,0,2,2,0,35215,36227,37876,39984,39041,40110,1600,2234,3042,0,1700,2000,0,0.67246205,0.32753795
24044,240000,1,1,2,26,-1,-1,-2,-1,-1,-1,5010,1188,3513,11380,1777,190,1188,3513,11794,1785,190,0,0,0.8747773,0.12522271
24045,20000,1,2,2,23,0,0,0,0,0,0,9550,10867,11585,12899,13087,13327,1480,1198,1512,700,600,2700,0,0.8549372,0.14506282
24046,50000,1,2,2,25,0,0,0,0,0,0,29827,30863,31897,29652,20483,19909,1536,1570,1316,1680,722,822,0,0.85795236,0.14204763
24047,130000,1,2,2,25,0,0,0,0,0,0,39074,39767,38680,5654,1938,522,1766,1521,3100,0,10,0,0,0.8702292,0.1297708
