,Relative Importance,Feature,Description
0,1.0,32_NumToCatWoE:age:priors_count.0,"Weight of Evidence for columns ['age', 'priors_count'] column #0 (numeric columns are bucketed into 10 equally populated bins)"
1,0.81282,44_NumToCatWoEMonotonic:age:priors_count.0,"Weight of Evidence for columns ['age', 'priors_count'] column #0 (numeric columns are bucketed into maximum of 10 bins, can be less due to monotonicity constraints)"
2,0.54769,75_NumToCatWoEMonotonic:age:priors_count.0,"Weight of Evidence for columns ['age', 'priors_count'] column #0 (numeric columns are bucketed into maximum of 250 bins, can be less due to monotonicity constraints)"
3,0.37268,118_NumToCatWoEMonotonic:age:priors_count.0,"Weight of Evidence for columns ['age', 'priors_count'] column #0 (numeric columns are bucketed into maximum of 100 bins, can be less due to monotonicity constraints)"
4,0.32119000000000003,51_NumCatTE:age:priors_count:sex.0,"Out-of-fold mean of the response grouped by: ['age', 'priors_count', 'sex'] using 5 folds [internal:(10, 3, 20)] (numeric columns are bucketed into 10 equally populated bins) [internal:(10, 3, 20)]"
5,0.29585,35_InteractionDiv:age:priors_count,[age] / [priors_count]
6,0.2868,29_NumToCatWoEMonotonic:age:priors_count.0,"Weight of Evidence for columns ['age', 'priors_count'] column #0 (numeric columns are bucketed into maximum of 25 bins, can be less due to monotonicity constraints)"
7,0.2336,77_InteractionSub:age:priors_count,[age] - [priors_count]
8,0.18722,41_NumCatTE:juv_fel_count:race:sex.0,"Out-of-fold mean of the response grouped by: ['juv_fel_count', 'race', 'sex'] using 5 folds [internal:(20, 5, None)] (numeric columns are bucketed into 100 equally populated bins) [internal:(20, 5, None)]"
9,0.1467,22_WoE:c_charge_desc:race.0,"Weight of Evidence for columns ['c_charge_desc', 'race'] column #0"
10,0.13365,17_NumToCatWoE:age:priors_count.0,"Weight of Evidence for columns ['age', 'priors_count'] column #0 (numeric columns are bucketed into 25 equally populated bins)"
11,0.1186,94_NumCatTE:age:c_charge_degree:priors_count.0,"Out-of-fold mean of the response grouped by: ['age', 'c_charge_degree', 'priors_count'] using 5 folds [internal:(10, 3, 100)] (numeric columns are bucketed into 250 equally populated bins) [internal:(10, 3, 100)]"
